ObservatoryID,UnitID,EventID,Filename,Filetype,PlateNumber,Position,Download URL
Galway,Gurr3,ARMS_Galway_Gurr3_20200723_20210708,5136008,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e66f1b74-2bb0-4973-a3ba-f8194b290c4f.xlsx
Laeso,Laeso1,ARMS_Laeso_Laeso1_20190819_20200811,3554956,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/169395ae-8748-43a7-8436-7d0224fc539a.xlsx
Galway,Gurr1,ARMS_Galway_Gurr1_20200721_20210708,5135966,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/5ead7bf5-73a8-472d-a2c3-3a6f59405b7f.xlsx
TZS,Angbat,ARMS_TZS_Angbat_20180711_20181106,3569408,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/7ebaf3bf-c1e6-4a42-842e-6cc686922a3c.xlsx
Getxo,G1,ARMS_Getxo_G1_20200624_20201103,3571338,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/cdf48336-09b2-457a-ae40-580011a0a66b.xlsx
BelgiumCoast,AZBE1,ARMS_BelgiumCoast_AZBE1_20190924_20200303,3557962,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/6af01118-d326-4265-a3d8-d72cfcc56e12.xlsx
SWC,Helsingborg2,ARMS_SWC_Helsingborg2_20200305_20200604,3569256,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/21cb7475-1489-4968-b950-99ddabe047ba.xlsx
Plymouth,MBA1B,ARMS_Plymouth_MBA1B_20190716_20190918,3454339,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/5caaa62e-9da9-4dc3-9798-97323c6bf1cb.pdf
BelgiumCoast,AZBE1,ARMS_BelgiumCoast_AZBE1_20190924_20200303,5571619,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/92f9a65d-3015-4632-b0bb-0fd16a79ef7c.csv
Crete,2UBPC,ARMS_Crete_2UBPC_20201120_20220901,6818930,Other,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/b359a35e-0fd4-4059-96b1-6e6a111dac39.csv
SWC,Varberg1,ARMS_SWC_Varberg1_20200213_20200603,3569262,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/5ae29465-82ac-4246-9068-561cf85a82c8.xlsx
Galway,Gurr2,ARMS_Galway_Gurr2_20200721_20210707,5135987,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/b568d069-ec9b-4721-9ff5-b54bbf97db96.xlsx
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,5571616,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/dcbfe6d2-72ed-486b-a0ff-bb2474ed3d6c.csv
Koster,VH2,ARMS_Koster_VH2_20190527_20200716,3569269,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/150367ac-5bb1-4889-95f0-df02472f6156.xlsx
Koster,VH1,ARMS_Koster_VH1_20190527_20200716,3569238,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/174026e4-6b78-4e83-a86b-6623fd0b5a9f.xlsx
SWC,Gbg2,ARMS_SWC_Gbg2_20200206_20200520,3569265,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c6ec71b7-d722-443e-961e-d9d29f6bcc69.xlsx
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,5571614,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/f78b314a-6773-459e-97c4-5287e57e1343.csv
Galway,Gurr2,ARMS_Galway_Gurr2_20200721_20210707,5135986,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c59d0532-9ad4-40f7-a19d-66af13e0be5e.xlsx
Galway,Gurr1,ARMS_Galway_Gurr1_20200721_20210708,5135965,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/ac281a80-d2cb-4b10-83b8-112824d02776.xlsx
Koster,VH1,ARMS_Koster_VH1_20190527_20200716,3569268,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/60da18d2-68d7-4f14-b436-bbc7080322ae.xlsx
Svalbard,S1A,ARMS_Svalbard_S1A_20200805_20220729,6816451,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/504785d4-5919-453c-a609-0a5d72d95764.csv
BelgiumCoast,AJJCD89,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,5571612,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d2a614dd-430a-4dfa-b4d5-5549db99d2ee.csv
TZS,Spikarna,ARMS_TZS_Spikarna_20180711_20181107,3569410,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/3ea5f944-7412-490e-bfdd-826d6f91ad1a.xlsx
Getxo,G2,ARMS_Getxo_G2_20190624_20191016,3452500,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e5291783-9095-4023-b90c-44e0edd764d1.xlsx
Koster,VH3,ARMS_Koster_VH3_20190527_20200716,3569240,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/f4cabbde-66f1-460f-8f4d-84d49986ed40.xlsx
SWC,Marstrand1,ARMS_SWC_Marstrand1_20200228_20200527,3569255,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/132d9821-5367-42d1-934f-5e612f2dd22c.xlsx
Getxo,G3,ARMS_Getxo_G3_20190624_20191016,3569377,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/7b9b59ce-ae82-4792-b02e-88760d412c36.xlsx
Plymouth,MBA1A,ARMS_Plymouth_MBA1A_20190716_20190916,3454314,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/2a43eebb-7880-4947-97a1-a18624006680.pdf
Galway,Gurr3,ARMS_Galway_Gurr3_20200723_20210708,5136007,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e50001c1-059c-4305-9b78-ec1460349af1.xlsx
Svalbard,S1B,ARMS_Svalbard_S1B_20200806_20220731,6816452,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/47f9d04f-69a0-4df4-8496-7ff8afc90a2e.csv
Getxo,G3,ARMS_Getxo_G3_20190624_20191016,3452500,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e5291783-9095-4023-b90c-44e0edd764d1.xlsx
Koster,VH2,ARMS_Koster_VH2_20180418_20180906,3455923,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/0137ee5d-6fd2-4868-8d67-ba2f8f431b88.xlsx
SWC,Gbg3,ARMS_SWC_Gbg3_20200206_20200529,3569264,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/a3dcb4b7-50e8-47bc-bcf2-886a3a800237.xlsx
BelgiumCoast,AZFPin,ARMS_BelgiumCoast_AZFPin_20180712_20180818,5575197,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/7270a034-fef6-4904-9a8b-a19346008d2f.csv
